organic_formula,organic_concentration,organic_temperature,organic_soak_time,organic_ph,organic_curing_time,Adhesion,Coverage,Uniformity,Timestamp
23.0,4.5,35.0,280.0,10.0,55.0,0.57783496,0.5864726,0.4713543,2026-01-24-10:46:22
23.0,4.7,40.0,180.0,8.5,10.0,0.5286977,0.25692952,0.63609266,2026-01-24-10:46:22
23.0,4.8,40.0,280.0,10.0,55.0,0.5178593,0.59769505,0.561067,2026-01-24-10:46:22
23.0,4.2,35.0,280.0,10.0,55.0,0.5874577,0.5754075,0.45165688,2026-01-24-10:46:22
16.0,2.8,40.0,260.0,9.5,15.0,0.6595743,0.25413033,0.36866352,2026-01-24-10:46:22
5.0,3.2,40.0,280.0,9.5,55.0,0.47185856,0.35671708,0.42947736,2026-01-24-10:46:30
23.0,4.1,35.0,280.0,10.0,55.0,0.58918494,0.5718123,0.44455692,2026-01-24-10:46:30
18.0,4.8,25.0,280.0,6.0,55.0,0.4628879,0.45086282,0.29015452,2026-01-24-10:46:30
8.0,3.2,40.0,260.0,6.0,20.0,0.4449715,0.19491991,0.4167106,2026-01-24-10:46:30
23.0,4.7,40.0,180.0,10.0,10.0,0.5044656,0.25153202,0.6329895,2026-01-24-10:46:30
23.0,4.7,40.0,180.0,10.0,10.0,0.5044656,0.25153202,0.6329895,2026-01-24-10:46:39
23.0,4.8,30.0,280.0,10.0,55.0,0.582574,0.59769505,0.3477914,2026-01-24-10:46:39
27.0,3.2,40.0,280.0,9.5,55.0,0.5250791,0.51108164,0.48463377,2026-01-24-10:46:39
17.0,3.2,40.0,280.0,6.5,55.0,0.55465657,0.39730108,0.34126967,2026-01-24-10:46:39
19.0,3.2,40.0,280.0,5.5,55.0,0.55713576,0.39794546,0.36010578,2026-01-24-10:46:39
27.0,4.7,40.0,180.0,8.5,10.0,0.45503885,0.2882518,0.6165507,2026-01-24-10:46:48
23.0,4.7,40.0,180.0,9.5,10.0,0.5136329,0.25068897,0.6348048,2026-01-24-10:46:48
23.0,3.2,35.0,280.0,8.5,55.0,0.5878154,0.48874578,0.34668285,2026-01-24-10:46:48
21.0,4.8,35.0,280.0,4.0,55.0,0.48991734,0.46021017,0.3695415,2026-01-24-10:46:48
