organic_formula,organic_concentration,organic_temperature,organic_soak_time,organic_ph,organic_curing_time,Adhesion,Coverage,Uniformity,Timestamp
20.0,5.0,40.0,280.0,9.0,60.0,1.484796,2.5262752,1.6515557,2026-01-26-23:30:06
30.0,3.3,40.0,280.0,9.0,60.0,2.2484512,3.8830101,1.1825072,2026-01-26-23:31:05
26.0,3.3,30.0,280.0,10.0,60.0,1.1484517,2.3954287,2.2506642,2026-01-26-23:31:05
30.0,3.6,40.0,280.0,9.0,60.0,2.1843278,3.9043143,1.307143,2026-01-26-23:31:05
26.0,5.0,35.0,280.0,10.0,60.0,1.0677743,2.9038188,2.586325,2026-01-26-23:31:05
30.0,2.4,40.0,280.0,9.0,60.0,2.3958397,3.79436,0.855831,2026-01-26-23:31:05
30.0,2.3,40.0,280.0,9.0,60.0,2.4080513,3.7822192,0.8239068,2026-01-26-23:32:02
30.0,2.0,40.0,280.0,9.0,60.0,2.439688,3.7430477,0.733382,2026-01-26-23:32:02
26.0,1.9,40.0,280.0,10.0,60.0,2.3665433,3.374498,0.6936933,2026-01-26-23:32:02
30.0,3.9,35.0,280.0,9.0,60.0,1.4915966,3.2714946,2.117428,2026-01-26-23:32:02
24.0,2.7,40.0,280.0,6.0,60.0,2.1895854,2.9250324,0.6116152,2026-01-26-23:32:02
30.0,3.0,40.0,280.0,9.0,60.0,2.3050776,3.8575833,1.0657436,2026-01-26-23:33:00
8.0,4.4,35.0,280.0,6.0,60.0,0.77661014,0.24986595,1.3931905,2026-01-26-23:33:00
30.0,5.0,40.0,10.0,9.0,60.0,1.422857,4.2085714,1.2214285,2026-01-26-23:33:00
30.0,5.0,40.0,30.0,9.0,60.0,1.4497535,4.1893597,1.2785714,2026-01-26-23:33:00
30.0,3.1,40.0,280.0,9.0,60.0,2.287035,3.8665173,1.1037903,2026-01-26-23:33:00
1.0,5.0,35.0,280.0,5.0,60.0,0.40315825,-0.5709361,1.450093,2026-01-26-23:33:58
30.0,3.2,40.0,280.0,9.0,60.0,2.2681596,3.8749926,1.1427114,2026-01-26-23:33:58
30.0,3.5,40.0,280.0,9.0,60.0,2.206535,3.897671,1.2647231,2026-01-26-23:33:58
26.0,3.5,25.0,280.0,10.0,60.0,0.91871893,2.0090685,2.564368,2026-01-26-23:33:58
2.0,5.0,35.0,280.0,5.0,60.0,0.42118996,-0.50075686,1.4618422,2026-01-26-23:33:58
30.0,3.7,40.0,280.0,9.0,60.0,2.1612873,3.9104989,1.3504374,2026-01-26-23:34:55
30.0,3.8,40.0,280.0,9.0,60.0,2.137414,3.9162257,1.3946064,2026-01-26-23:34:55
26.0,3.8,35.0,280.0,10.0,60.0,1.4300373,2.9079893,2.0083413,2026-01-26-23:34:55
24.0,3.7,35.0,280.0,5.5,60.0,1.3782256,2.360042,1.5927924,2026-01-26-23:34:55
19.0,3.7,30.0,280.0,6.5,60.0,0.8850987,1.3744243,1.8962718,2026-01-26-23:34:55
30.0,5.0,40.0,130.0,9.0,60.0,1.5842364,4.093301,1.5642856,2026-01-26-23:35:50
30.0,5.0,40.0,260.0,9.0,60.0,1.759064,3.9684234,1.9357141,2026-01-26-23:35:50
12.0,4.8,40.0,130.0,4.5,25.0,0.4007202,1.2876562,0.38288674,2026-01-26-23:35:50
30.0,4.0,40.0,280.0,9.0,60.0,2.0871682,3.926305,1.4855685,2026-01-26-23:35:50
26.0,4.7,40.0,280.0,10.0,60.0,1.7778229,3.5058742,1.7729335,2026-01-26-23:35:50
26.0,4.9,40.0,280.0,10.0,60.0,1.7107818,3.5015137,1.876261,2026-01-26-23:36:49
30.0,4.2,40.0,280.0,9.0,60.0,2.0335906,3.9345515,1.5800294,2026-01-26-23:36:49
30.0,4.2,35.0,280.0,9.0,60.0,1.4124795,3.2845511,2.2578073,2026-01-26-23:36:49
24.0,4.3,40.0,280.0,4.0,60.0,1.8067998,2.8255987,1.1075296,2026-01-26-23:36:49
30.0,5.0,40.0,50.0,9.0,60.0,1.4766502,4.170148,1.3357142,2026-01-26-23:36:49
26.0,4.6,40.0,280.0,10.0,60.0,1.810094,3.507367,1.7225814,2026-01-26-23:37:51
26.0,4.6,35.0,280.0,10.0,60.0,1.2018564,2.9125392,2.3796694,2026-01-26-23:37:51
30.0,4.6,40.0,280.0,9.0,60.0,1.9164395,3.9455464,1.779446,2026-01-26-23:37:51
26.0,4.6,30.0,280.0,10.0,60.0,0.80473006,2.4177115,2.8256464,2026-01-26-23:37:51
21.0,4.6,40.0,180.0,5.0,35.0,0.921039,2.673,0.73776984,2026-01-26-23:37:51
30.0,4.8,40.0,210.0,9.0,60.0,1.758728,4.015537,1.6844023,2026-01-26-23:38:49
30.0,5.0,40.0,60.0,9.0,60.0,1.4900985,4.160542,1.3642856,2026-01-26-23:38:49
30.0,4.8,40.0,219.99998,9.0,60.0,1.7721763,4.0059314,1.7129738,2026-01-26-23:38:49
30.0,4.1,40.0,280.0,9.0,60.0,2.060796,3.9306571,1.5323615,2026-01-26-23:38:49
30.0,5.0,40.0,90.0,9.0,60.0,1.5304432,4.1317244,1.4499998,2026-01-26-23:38:49
30.0,5.0,40.0,100.0,8.0,60.0,1.4941871,4.076749,1.4322166,2026-01-26-23:39:48
30.0,5.0,40.0,110.0,8.0,60.0,1.5100491,4.0659113,1.4596058,2026-01-26-23:39:48
30.0,5.0,40.0,260.0,9.0,35.0,0.9979801,4.0727587,1.550862,2026-01-26-23:39:48
30.0,2.7,40.0,280.0,8.0,60.0,2.347951,3.7604964,0.88921595,2026-01-26-23:39:48
30.0,4.8,35.0,280.0,8.0,60.0,1.2254988,3.230759,2.494545,2026-01-26-23:39:48
30.0,5.0,40.0,219.99998,9.0,30.0,0.87638414,4.082394,1.4026402,2026-01-26-23:40:53
20.0,3.7,30.0,280.0,10.0,60.0,0.9289111,1.7315946,2.1726587,2026-01-26-23:40:53
30.0,5.0,40.0,150.0,9.0,60.0,1.6111329,4.0740886,1.6214285,2026-01-26-23:40:53
20.0,1.7,30.0,150.0,9.5,35.0,0.52873176,1.7407434,0.8493064,2026-01-26-23:40:53
26.0,4.8,40.0,280.0,9.5,60.0,1.7415907,3.4701545,1.7903421,2026-01-26-23:40:53
30.0,4.8,40.0,280.0,9.0,60.0,1.8528659,3.9482958,1.8844024,2026-01-26-23:41:55
30.0,4.8,35.0,260.0,9.0,60.0,1.2048583,3.3175075,2.5050373,2026-01-26-23:41:55
30.0,4.8,30.0,280.0,9.0,60.0,0.821755,2.7482955,3.028847,2026-01-26-23:41:55
30.0,4.9,35.0,280.0,9.0,60.0,1.1987187,3.298983,2.6159704,2026-01-26-23:41:55
3.0,4.8,40.0,280.0,6.0,60.0,1.0598383,-0.035622597,0.9201687,2026-01-26-23:41:55
30.0,4.7,35.0,280.0,9.0,60.0,1.263958,3.2971504,2.509265,2026-01-26-23:43:02
30.0,5.0,40.0,120.0,9.0,60.0,1.5707881,4.102906,1.5357141,2026-01-26-23:43:02
30.0,5.0,40.0,140.0,9.0,60.0,1.5976846,4.083695,1.592857,2026-01-26-23:43:02
30.0,5.0,40.0,160.0,9.0,60.0,1.6245811,4.0644827,1.6499999,2026-01-26-23:43:02
26.0,4.9,35.0,140.0,9.5,55.0,0.8144557,2.993105,2.0340166,2026-01-26-23:43:02
